month_year,sales
1.2012,16675
2.2012,16675
3.2012,19888
4.2009,13672
5.2009,14219
6.2012,15586
7.2012,17148
8.2012,18969
9.2012,19121
10.2012,14976
11.2012,14347
12.2012,13340
1.2013,14490
2.2013,14490
3.2013,17605
4.2013,14239
5.2013,14951
6.2013,15521
7.2013,17191
8.2013,20056
9.2013,20374
10.2013,15382
11.2013,15127
12.2013,13475
1.2014,16894
2.2014,15997
3.2014,18240
4.2014,14992
5.2014,15292
6.2014,17091
7.2014,18858
8.2014,19692
9.2014,19859
10.2014,13941
11.2014,13822
12.2014,12273
1.2015,16682
2.2015,16239
3.2015,19044
4.2015,15405
5.2015,15701
6.2015,17479
7.2015,18144
8.2015,19108
9.2015,20071
10.2015,15481
11.2015,15351
12.2015,14050
1.2016,16794
2.2016,16486
3.2016,20029
4.2016,15575
5.2016,16033
6.2016,17713
7.2016,18243
8.2016,19534
9.2016,19534
10.2016,16306
11.2016,15898
12.2016,14539
1.2017,17863
2.2017,17863
3.2017,19848
4.2017,14576
5.2017,14851
6.2017,17189
7.2017,17696
8.2017,18875
9.2017,19170
10.2017,16578
11.2017,16317
12.2017,14229
1.2018,16984
2.2018,16984
3.2018,20159
4.2018,16252
5.2018,16890
6.2018,17527
7.2018,18633
8.2018,20327
9.2018,20666
10.2018,18334
11.2018,17393
12.2018,16610
1.2019,17469
2.2019,17469
3.2019,20145
4.2019,16082
5.2019,16398
6.2019,18447
7.2019,19060
8.2019,21084
9.2019,21422
10.2019,17630
11.2019,17630
12.2019,16308
